gID	cind
NM_001008699	5
NM_001010915	5
NM_001013253	5
NM_001013254	5
NM_001013255	5
NM_001017915	5
NM_001025158	5
NM_001025159	5
NM_001025160	5
NM_001033046	5
NM_001066	5
NM_001175	5
NM_001311	5
NM_001459	5
NM_001556	5
NM_001558	5
NM_001611	5
NM_001624	5
NM_001629	5
NM_001731	5
NM_001752	5
NM_001803	5
NM_002017	5
NM_002116	5
NM_002117	5
NM_002121	5
NM_002122	5
NM_002124	5
NM_002127	5
NM_002162	5
NM_002198	5
NM_002201	5
NM_002209	5
NM_002229	5
NM_002287	5
NM_002308	5
NM_002339	5
NM_002349	5
NM_002463	5
NM_002727	5
NM_002801	5
NM_002831	5
NM_002872	5
NM_002984	5
NM_003006	5
NM_003141	5
NM_003153	5
NM_003335	5
NM_003355	5
NM_003467	5
NM_003650	5
NM_003684	5
NM_003730	5
NM_003765	5
NM_003775	5
NM_003820	5
NM_003879	5
NM_003974	5
NM_003978	5
NM_003998	5
NM_004029	5
NM_004030	5
NM_004031	5
NM_004048	5
NM_004079	5
NM_004335	5
NM_004388	5
NM_004509	5
NM_004573	5
NM_004585	5
NM_004706	5
NM_004762	5
NM_004862	5
NM_004877	5
NM_005101	5
NM_005173	5
NM_005335	5
NM_005489	5
NM_005514	5
NM_005533	5
NM_005565	5
NM_005601	5
NM_005990	5
NM_006074	5
NM_006084	5
NM_006290	5
NM_006355	5
NM_006472	5
NM_006586	5
NM_006669	5
NM_006673	5
NM_006738	5
NM_006747	5
NM_006748	5
NM_006762	5
NM_006813	5
NM_006994	5
NM_007047	5
NM_007261	5
NM_012292	5
NM_012335	5
NM_012455	5
NM_012461	5
NM_014339	5
NM_014349	5
NM_014350	5
NM_014369	5
NM_014656	5
NM_014734	5
NM_014877	5
NM_015044	5
NM_015150	5
NM_015242	5
NM_015660	5
NM_015918	5
NM_016382	5
NM_016573	5
NM_016619	5
NM_017424	5
NM_018009	5
NM_018690	5
NM_019111	5
NM_020529	5
NM_021004	5
NM_021616	5
NM_021708	5
NM_022750	5
NM_024599	5
NM_024736	5
NM_024832	5
NM_024901	5
NM_025228	5
NM_030767	5
NM_031458	5
NM_031471	5
NM_032496	5
NM_032872	5
NM_032921	5
NM_033054	5
NM_033086	5
NM_033387	5
NM_080548	5
NM_080923	5
NM_130390	5
NM_130446	5
NM_138402	5
NM_139181	5
NM_144641	5
NM_144767	5
NM_145058	5
NM_145641	5
NM_153253	5
NM_153265	5
NM_153373	5
NM_170600	5
NM_173164	5
NM_177405	5
NM_178443	5
NM_182663	5
NM_182665	5
NM_183010	5
NM_198201	5
NM_198202	5
NM_198517	5
NM_198973	5
NM_199002	5
NM_199072	5
NM_000123	6
NM_000176	6
NM_000195	6
NM_000885	6
NM_001001740	6
NM_001002909	6
NM_001004285	6
NM_001006666	6
NM_001007071	6
NM_001008658	6
NM_001013649	6
NM_001017969	6
NM_001018074	6
NM_001018076	6
NM_001024843	6
NM_001025604	6
NM_001114	6
NM_001226	6
NM_001270	6
NM_001429	6
NM_001637	6
NM_002093	6
NM_002401	6
NM_002480	6
NM_002519	6
NM_002709	6
NM_002892	6
NM_003113	6
NM_003152	6
NM_003185	6
NM_003363	6
NM_003431	6
NM_003518	6
NM_003542	6
NM_003831	6
NM_003893	6
NM_004600	6
NM_004688	6
NM_004719	6
NM_004874	6
NM_004941	6
NM_004972	6
NM_005056	6
NM_005057	6
NM_005149	6
NM_005154	6
NM_005171	6
NM_005653	6
NM_005831	6
NM_005848	6
NM_005999	6
NM_006311	6
NM_006313	6
NM_006362	6
NM_006385	6
